,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,gmtOffsetMilliSeconds,quoteType
1,RECN,Resources Connection Inc,2020-01-02T21:05:00.000Z,TAS,0.3,0.38,26.67,0,EQUITY
3,RGP,"Resources Connection, Inc.",2020-01-02T05:00:00.000Z,TNS,0.31,0.38,24.59,0,EQUITY
5,LW,"Lamb Weston Holdings, Inc.",2020-01-03T05:00:00.000Z,TNS,0.85,0.95,12.43,0,EQUITY
6,SOYIF,Soda Sanayii A.S.,2020-01-05T05:00:00.000Z,TNS,,0.3,,0,EQUITY
7,PIR,Pier 1 Imports Inc,2020-01-06T21:15:00.000Z,TAS,-5.19,,,0,EQUITY
8,PIRRQ,"Pier 1 Imports, Inc.",2020-01-06T05:00:00.000Z,TNS,,,,0,EQUITY
10,DSKIF,"Daiseki Co.,Ltd.",2020-01-06T05:00:00.000Z,TNS,,47.38,,0,EQUITY
15,ANGO,"AngioDynamics, Inc.",2020-01-07T05:00:00.000Z,TNS,0.02,0.06,160.87,0,EQUITY
16,PCYO,Pure Cycle Corporation,2020-01-07T05:00:00.000Z,TNS,,,,0,EQUITY
17,NTIC,Northern Technologies International Corporation,2020-01-07T05:00:00.000Z,TNS,0.13,0.13,0.0,0,EQUITY
18,CYAGF,"CyberAgent, Inc.",2020-01-07T05:00:00.000Z,TNS,7.24,11.55,59.49,0,EQUITY
19,PTGIF,PT Medco Energi Internasional Tbk,2020-01-07T05:00:00.000Z,TNS,,,,0,EQUITY
20,EXFO,EXFO Inc.,2020-01-07T05:00:00.000Z,TNS,0.04,0.04,2.56,0,EQUITY
21,STRM,"Streamline Health Solutions, Inc.",2020-01-07T05:00:00.000Z,TNS,0.01,-0.01,-300.0,0,EQUITY
22,WBA,"Walgreens Boots Alliance, Inc.",2020-01-08T05:00:00.000Z,TNS,1.41,1.37,-3.04,0,EQUITY
23,AMKYF,"ABC-Mart, Inc.",2020-01-08T05:00:00.000Z,TNS,72.7,68.57,-5.68,0,EQUITY
24,CHBJF,China CITIC Bank Corporation Limited,2020-01-08T05:00:00.000Z,TNS,0.21,0.2,-4.76,0,EQUITY
25,STZ-B,"Constellation Brands, Inc.",2020-01-08T05:00:00.000Z,TNS,1.83,2.14,16.75,0,EQUITY
26,LXRP,Lexaria Bioscience Corp.,2020-01-08T05:00:00.000Z,TNS,,,,0,EQUITY
27,BBBY,Bed Bath & Beyond Inc.,2020-01-08T05:00:00.000Z,TNS,0.02,-0.38,-1827.27,0,EQUITY
28,STZ,"Constellation Brands, Inc.",2020-01-08T05:00:00.000Z,TNS,1.83,2.14,16.75,0,EQUITY
29,GDDFF,Goodfood Market Corp.,2020-01-08T05:00:00.000Z,TNS,-0.12,-0.09,28.0,0,EQUITY
30,CCF,Chase Corporation,2020-01-08T05:00:00.000Z,TNS,,,,0,EQUITY
32,MSM,"MSC Industrial Direct Co., Inc.",2020-01-08T05:00:00.000Z,TNS,1.17,1.21,3.77,0,EQUITY
33,SAR,Saratoga Investment Corp.,2020-01-08T05:00:00.000Z,TNS,0.58,1.37,134.99,0,EQUITY
34,UNF,UniFirst Corporation,2020-01-08T05:00:00.000Z,TNS,2.01,2.52,25.56,0,EQUITY
36,CORVF,Corvus Gold Inc.,2020-01-08T05:00:00.000Z,TNS,-0.02,-0.03,-50.0,0,EQUITY
37,CHSCP,CHS Inc.,2020-01-08T05:00:00.000Z,TNS,,,,0,EQUITY
38,GBX,"The Greenbrier Companies, Inc.",2020-01-08T05:00:00.000Z,TNS,0.43,0.3,-30.72,0,EQUITY
39,RELL,"Richardson Electronics, Ltd.",2020-01-08T05:00:00.000Z,TNS,0.02,-0.05,-350.0,0,EQUITY
41,HELE,Helen of Troy Limited,2020-01-08T05:00:00.000Z,TNS,2.5,3.12,24.6,0,EQUITY
42,KSHB,"KushCo Holdings, Inc.",2020-01-08T05:00:00.000Z,TNS,-0.09,-0.12,-26.32,0,EQUITY
43,RPM,RPM International Inc.,2020-01-08T05:00:00.000Z,TNS,0.73,0.76,4.11,0,EQUITY
44,KRUS,"Kura Sushi USA, Inc.",2020-01-08T05:00:00.000Z,TNS,-0.03,-0.15,-354.55,0,EQUITY
45,SCHN,"Schnitzer Steel Industries, Inc.",2020-01-08T05:00:00.000Z,TNS,-0.16,-0.17,-4.29,0,EQUITY
46,WDFC,WD-40 Company,2020-01-09T05:00:00.000Z,TNS,0.98,0.88,-10.48,0,EQUITY
47,AMLLF,"AEON Mall Co., Ltd.",2020-01-09T05:00:00.000Z,TNS,31.23,28.39,-9.08,0,EQUITY
48,AEHR,Aehr Test Systems,2020-01-09T05:00:00.000Z,TNS,0.01,0.02,100.0,0,EQUITY
49,PKE,Park Aerospace Corp.,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
50,AZZ,AZZ Inc.,2020-01-09T05:00:00.000Z,TNS,0.81,0.84,3.7,0,EQUITY
51,ATZAF,Aritzia Inc.,2020-01-09T05:00:00.000Z,TNS,0.3,0.32,5.26,0,EQUITY
52,AYI,"Acuity Brands, Inc.",2020-01-09T05:00:00.000Z,TNS,2.21,2.13,-3.53,0,EQUITY
54,PONGF,Atari SA,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
55,URPTF,Uranium Participation Corporation,2020-01-09T05:00:00.000Z,TNS,0.58,-0.1,-117.24,0,EQUITY
56,YASKF,YASKAWA Electric Corporation,2020-01-09T05:00:00.000Z,TNS,20.61,8.87,-56.94,0,EQUITY
57,FRCOF,"Fast Retailing Co., Ltd.",2020-01-09T05:00:00.000Z,TNS,752.74,694.73,-7.71,0,EQUITY
58,EMMS,Emmis Communications Corporation,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
59,VOXX,VOXX International Corporation,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
60,CWLPF,The Caldwell Partners International Inc.,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
61,SVNDF,"Seven & i Holdings Co., Ltd.",2020-01-09T05:00:00.000Z,TNS,62.3,67.19,7.84,0,EQUITY
62,FYRTF,"FamilyMart Co., Ltd.",2020-01-09T05:00:00.000Z,TNS,19.63,15.51,-20.99,0,EQUITY
63,LNN,Lindsay Corporation,2020-01-09T05:00:00.000Z,TNS,0.5,0.77,52.78,0,EQUITY
64,CYDY,CytoDyn Inc.,2020-01-09T05:00:00.000Z,TNS,-0.03,-0.04,-33.33,0,EQUITY
66,SMPL,The Simply Good Foods Company,2020-01-09T05:00:00.000Z,TNS,0.21,0.22,7.32,0,EQUITY
67,FC,Franklin Covey Co.,2020-01-09T05:00:00.000Z,TNS,-0.02,-0.04,-66.67,0,EQUITY
68,JNDOF,JINS HOLDINGS Inc.,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
70,PSMT,"PriceSmart, Inc.",2020-01-09T05:00:00.000Z,TNS,0.63,0.64,1.59,0,EQUITY
71,ORMP,Oramed Pharmaceuticals Inc.,2020-01-09T05:00:00.000Z,TNS,-0.24,-0.15,38.78,0,EQUITY
72,SLP,"Simulations Plus, Inc.",2020-01-09T05:00:00.000Z,TNS,0.1,0.11,10.0,0,EQUITY
73,LOOP,"Loop Industries, Inc.",2020-01-09T05:00:00.000Z,TNS,-0.09,-0.1,-11.11,0,EQUITY
74,ANDGF,"Aeon Delight Co., Ltd.",2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
75,IACYF,Inter Action Corporation,2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
76,AONNF,"Aeon Co., Ltd.",2020-01-10T05:00:00.000Z,TNS,-5.94,-12.04,-102.68,0,EQUITY
77,TSIHF,"TSI Holdings Co.,Ltd.",2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
78,RYKKF,"Ryohin Keikaku Co., Ltd.",2020-01-10T05:00:00.000Z,TNS,30.97,27.52,-11.13,0,EQUITY
79,CJREF,Corus Entertainment Inc.,2020-01-10T05:00:00.000Z,TNS,0.39,0.38,-1.81,0,EQUITY
80,KSHDF,"Koshidaka Holdings Co., Ltd.",2020-01-10T05:00:00.000Z,TNS,10.73,8.61,-19.74,0,EQUITY
81,OSGCF,OSG Corporation,2020-01-10T05:00:00.000Z,TNS,,30.7,,0,EQUITY
82,LEDS,SemiLEDs Corporation,2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
83,HTSUF,"Hisamitsu Pharmaceutical Co., Inc.",2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
84,LWSOF,"Lawson, Inc.",2020-01-10T05:00:00.000Z,TNS,8.1,58.42,621.59,0,EQUITY
85,INFY,Infosys Limited,2020-01-10T05:00:00.000Z,TNS,0.14,0.15,7.91,0,EQUITY
87,ICHIF,Ichigo Inc.,2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
88,TIHRF,Tharisa plc,2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
89,NNYAF,,2020-01-10T05:00:00.000Z,TNS,0.68,0.42,-38.6,0,EQUITY
90,MBAIF,CIBT Education Group Inc.,2020-01-12T05:00:00.000Z,TNS,,,,0,EQUITY
91,AVLNF,Avalon Advanced Materials Inc.,2020-01-13T05:00:00.000Z,TNS,,,,0,EQUITY
94,CIIHF,CITIC Securities Company Limited,2020-01-13T05:00:00.000Z,TNS,0.29,0.14,-51.72,0,EQUITY
95,EDUC,Educational Development Corporation,2020-01-13T05:00:00.000Z,TNS,,,,0,EQUITY
96,SJR,Shaw Communications Inc.,2020-01-13T05:00:00.000Z,TNS,0.33,0.31,-7.19,0,EQUITY
102,GNFTF,Genfit SA,2020-01-13T05:00:00.000Z,TNS,,,,0,EQUITY
103,MKGI,"Monaker Group, Inc.",2020-01-13T05:00:00.000Z,TNS,-0.14,-0.25,-78.57,0,EQUITY
104,SGPRF,Singapore Press Holdings Limited,2020-01-13T05:00:00.000Z,TNS,0.03,0.03,-10.71,0,EQUITY
105,OPSSF,Opsens Inc.,2020-01-13T05:00:00.000Z,TNS,0.0,-0.02,-300.0,0,EQUITY
106,SUEZF,Sudzucker AG,2020-01-14T05:00:00.000Z,TNS,-0.88,-0.35,60.23,0,EQUITY
107,ARTL,"Artelo Biosciences, Inc.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
108,SUEZY,Sudzucker AG,2020-01-14T05:00:00.000Z,TNS,-0.88,-0.35,60.23,0,EQUITY
109,SNHPF,"Sanei Architecture Planning Co.,Ltd.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
110,BGOUF,Bang & Olufsen a/s,2020-01-14T05:00:00.000Z,TNS,,-1.4,,0,EQUITY
111,DAL,"Delta Air Lines, Inc.",2020-01-14T05:00:00.000Z,TNS,1.4,1.7,21.17,0,EQUITY
