,0
0,AA
1,AAL
2,AAOI
3,AAPL
4,ABBV
5,ABC
6,ABT
7,ACAD
8,ACB
9,ACN
10,ADBE
11,ADI
12,ADM
13,ADP
14,ADS
15,ADSK
16,AEO
17,AFL
18,AG
19,AGNC
20,AIG
21,AKAM
22,ALGN
23,ALXN
24,AMAT
25,AMBA
26,AMC
27,AMD
28,AMGN
29,AMRN
30,AMT
31,AMZN
32,ANET
33,ANF
34,ANTM
35,APA
36,APHA
37,APO
38,APT
39,ATVI
40,AUY
41,AVGO
42,AXP
43,AZN
44,AZO
45,BA
46,BABA
47,BAC
48,BAX
49,BB
50,BBBY
51,BBY
52,BDX
53,BHC
54,BIDU
55,BIIB
56,BK
57,BKNG
58,BLK
59,BMY
60,BP
61,BSX
62,BUD
63,BURL
64,BX
65,BYND
66,C
67,CAG
68,CAH
69,CAT
70,CC
71,CCJ
72,CCL
73,CF
74,CGC
75,CHTR
76,CI
77,CIEN
78,CL
79,CLF
80,CLR
81,CLVS
82,CLX
83,CMCSA
84,CME
85,CMG
86,CMI
87,CNC
88,CNP
89,CODX
90,COF
91,COG
92,COP
93,COST
94,COTY
95,COUP
96,CPB
97,CPRI
98,CREE
99,CRM
100,CRON
101,CRSP
102,CRUS
103,CRWD
104,CSCO
105,CSIQ
106,CSTM
107,CSX
108,CTSH
109,CTXS
110,CVNA
111,CVS
112,CVX
113,CWH
114,CXO
115,CYBR
116,CYH
117,CZR
118,DAL
119,DB
120,DBX
121,DDD
122,DDOG
123,DE
124,DFS
125,DG
126,DHI
127,DIS
128,DISH
129,DKNG
130,DKS
131,DLTR
132,DOCU
133,DOW
134,DPZ
135,DVA
136,DVN
137,EA
138,EBAY
139,ED
140,EDIT
141,EMR
142,ENDP
143,EOG
144,EPD
145,ET
146,ETN
147,ETSY
148,EW
149,EXAS
150,EXPE
151,F
152,FB
153,FCAU
154,FCX
155,FDX
156,FEYE
157,FFIV
158,FISV
159,FIT
160,FIVE
161,FL
162,FLEX
163,FLR
164,FOSL
165,FOXA
166,FSLR
167,FSLY
168,FSP
169,GD
170,GE
171,GILD
172,GLW
173,GM
174,GME
175,GNUS
176,GNW
177,GOLD
178,GOOG
179,GOOGL
180,GOOS
181,GPRO
182,GPS
183,GRPN
184,GRUB
185,GRWG
186,GS
187,GSK
188,GSX
189,GT
190,HAL
191,HAS
192,HBI
193,HCA
194,HD
195,HES
196,HFC
197,HIG
198,HIMX
199,HL
200,HLF
201,HOG
202,HON
203,HPE
204,HPQ
205,HSY
206,HUM
207,HUYA
208,IBM
209,ILMN
210,INFN
211,INO
212,INTC
213,INTU
214,IP
215,IQ
216,IRBT
217,ISRG
218,ITW
219,JBL
220,JCI
221,JD
222,JNJ
223,JNPR
224,JPM
225,JWN
226,KEY
227,KGC
228,KHC
229,KKR
230,KLAC
231,KMB
232,KMI
233,KO
234,KODK
235,KR
236,KSS
237,KSU
238,LB
239,LBTYA
240,LBTYK
241,LEN
242,LITE
243,LL
244,LLY
245,LMT
246,LNG
247,LOW
248,LRCX
249,LULU
250,LUV
251,LVS
252,LYB
253,LYFT
254,M
255,MA
256,MAR
257,MAT
258,MCD
259,MCHP
260,MCK
261,MDB
262,MDLZ
263,MDT
264,MELI
265,MET
266,MGM
267,MMM
268,MNKD
269,MO
270,MOMO
271,MOS
272,MPC
273,MRK
274,MRNA
275,MRO
276,MRVL
277,MS
278,MSFT
279,MT
280,MTCH
281,MU
282,MYL
283,NAV
284,NBEV
285,NCLH
286,NEM
287,NET
288,NFLX
289,NIO
290,NKE
291,NKTR
292,NLY
293,NOC
294,NOK
295,NOV
296,NOW
297,NRG
298,NSC
299,NTAP
300,NTES
301,NTNX
302,NTR
303,NUE
304,NVAX
305,NVDA
306,NXPI
307,OKE
308,OKTA
309,OLED
310,OLN
311,OPK
312,ORCL
313,OSTK
314,OXY
315,PAA
316,PANW
317,PBR
318,PCG
319,PDD
320,PENN
321,PEP
322,PFE
323,PG
324,PHM
325,PINS
326,PLUG
327,PM
328,PNC
329,PPG
330,PSX
331,PTON
332,PXD
333,PYPL
334,PZZA
335,QCOM
336,RACE
337,RCL
338,REGN
339,RH
340,RIG
341,RIOT
342,RNG
343,ROKU
344,ROST
345,RRC
346,RTX
347,RVLV
348,SAGE
349,SBUX
350,SDC
351,SE
352,SEAS
353,SFIX
354,SHOP
355,SIG
356,SIRI
357,SKX
358,SLB
359,SNAP
360,SNE
361,SO
362,SPCE
363,SPGI
364,SPLK
365,SPOT
366,SPWR
367,SQ
368,SRNE
369,SRPT
370,SSYS
371,STMP
372,STNE
373,STX
374,STZ
375,SU
376,SWK
377,SWKS
378,SWN
379,SYF
380,SYY
381,T
382,TAP
383,TDOC
384,TEAM
385,TECK
386,TEVA
387,TGT
388,THC
389,TIF
390,TJX
391,TLRY
392,TMUS
393,TNDM
394,TOL
395,TPR
396,TRIP
397,TSCO
398,TSLA
399,TSM
400,TSN
401,TTD
402,TTM
403,TTWO
404,TWLO
405,TWTR
406,TXN
407,UA
408,UAA
409,UAL
410,UBER
411,ULTA
412,UNH
413,UNP
414,UPS
415,URBN
416,URI
417,USB
418,V
419,VALE
420,VFC
421,VIAC
422,VIPS
423,VLO
424,VMW
425,VRTX
426,VXRT
427,VZ
428,W
429,WBA
430,WDAY
431,WDC
432,WFC
433,WHR
434,WKHS
435,WMB
436,WMT
437,WORK
438,WPM
439,WW
440,WY
441,WYNN
442,X
443,XLNX
444,XOM
445,YELP
446,YETI
447,YNDX
448,YPF
449,YUM
450,YY
451,Z
452,ZM
453,ZNGA
454,ZS
455,ZTS
